route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"1426","110","505R3","JMALBR505","Ramal 3 - San Francisco Solano - Est. Burzaco x Vasco Nuñez de Balboa: Ramal 3 - Est. Burzaco x Vasco Nuñez de Balboa",3
"1427","110","505R3","JMALBR505","Ramal 3 - San Francisco Solano - Est. Burzaco x Vasco Nuñez de Balboa: Ramal 3 - San Francisco Solano",3
"1428","110","505R4","JMALBR505","Ramal 4 - San Francisco Solano - Est. Adrogue: Ramal 4 - Est. Adrogue",3
"1429","110","505R4","JMALBR505","Ramal 4 - San Francisco Solano - Est. Adrogue: Ramal 4 - San Francisco Solano",3
"1430","110","505R5","JMALBR505","Ramal 5 - San Francisco Solano - Est. Burzacox Leroux: Ramal 5 - Est. Burzacox Leroux",3
"1431","110","505R5","JMALBR505","Ramal 5 - San Francisco Solano - Est. Burzacox Leroux: Ramal 5 - San Francisco Solano",3
"1432","110","505R6","JMALBR505","Ramal 6 - San Francisco Solano - Est. Claypole: Ramal 6 - Est. Claypole",3
"1433","110","505R6","JMALBR505","Ramal 6 - San Francisco Solano - Est. Claypole: Ramal 6 - San Francisco Solano",3
"1435","110","506R1","JMALBR506","Ramal 1 - Est. Glew - Tapin y Larreta: Ramal 1 - Est. Glew",3
"1434","110","506R1","JMALBR506","Ramal 1 - Est. Glew - Tapin y Larreta: Ramal 1 - Tapin y Larreta",3
"1436","110","506R2","JMALBR506","Ramal 2 - Est. Glew - Bº Gendarmería: Ramal 2 - B° Gendarmerí­a",3
"1437","110","506R2","JMALBR506","Ramal 2 - Est. Glew - Bº Gendarmería: Ramal 2 - Est. Glew",3
"1438","110","506R3","JMALBR506","Ramal 3 - Est. Glew - Donato Alvarez y Garay - Bº San José x Bynnon: R3 - D.Alvarez y Garay - B° San José x Bynnon",3
"1439","110","506R3","JMALBR506","Ramal 3 - Est. Glew - Donato Alvarez y Garay - Bº San José x Bynnon: Ramal 3 - Est. Glew",3
"1440","110","506R4","JMALBR506","Ramal 4 - Est. Glew - Donato Alvarez y Garay - Bº San José x Htal. Oñativa: R4 - D.Alvarez y Garay-B° San José x Htal.Oñativa",3
"1441","110","506R4","JMALBR506","Ramal 4 - Est. Glew - Donato Alvarez y Garay - Bº San José x Htal. Oñativa: Ramal 4 - Est. Glew",3
"1443","110","506R5","JMALBR506","Ramal 5 - Est. Adrogue - Est. Claypole: Ramal 5 - Est. Adrogue",3
"1442","110","506R5","JMALBR506","Ramal 5 - Est. Adrogue - Est. Claypole: Ramal 5 - Est. Claypole",3
"1444","110","506R6","JMALBR506","Ramal 6 - Est. Adrogue - Donato Alvarez y Garay - Barro San José: Ramal 6 - Donato Alvarez y Garay - Barro San José",3
"1445","110","506R6","JMALBR506","Ramal 6 - Est. Adrogue - Donato Alvarez y Garay - Barro San José: Ramal 6 - Est. Adrogue",3
"1546","410","514A","JMALBR514","Bº Lindo - Est. Claypole: a B° Lindo",3
"1545","410","514A","JMALBR514","Bº Lindo - Est. Claypole: a Est. Claypole",3
"1547","410","514B","JMALBR514","Loma Verde - Est. Claypole: a Est. Claypole",3
"1548","410","514B","JMALBR514","Loma Verde - Est. Claypole: a Loma Verde",3
"1549","410","514R4","JMALBR514","Ruta 4 - Est. Burzaco: a Est. Burzaco",3
"1550","410","514R4","JMALBR514","Ruta 4 - Est. Burzaco: a Ruta 4",3
"836","11","570R1","JMAVEL570","Molinedo y Entre Rios Avellaneda - Guemes y Eva Peron Avellaneda: a Guemes y Eva Peron Avellaneda",3
"837","11","570R1","JMAVEL570","Molinedo y Entre Rios Avellaneda - Guemes y Eva Peron Avellaneda: a Molinedo y Entre Rios Avellaneda",3
"838","11","570R4","JMAVEL570","Frias y Montaña Avellaneda - Virrey del Pino y Las Flores Avellaneda: a a Frias y Montaña Avellaneda",3
"490","215","500HA","JMFVAR500","Av. S. Martin y Sperandio - Bº Santa Rosa: a Av. S. Martin y Sperandio",3
"489","215","500HA","JMFVAR500","Av. S. Martin y Sperandio - Bº Santa Rosa: a B° Santa Rosa",3
"492","215","503A","JMFVAR503","Ramal A - Av. San Martin y Sperandio - U. Penitenciaria Fcio. Varela: Ramal A - Av. San Martin y Sperandio",3
